text,label,source_product,source_sub_product,source_issue,source_sub_issue
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"I clearly followed the close account process on the atlas app, stated to the customer service representative that i did not want to continue keeping the account open with the multiple offers they presented it with, and ordered them to close the account again. They sent more messages that i didnt see, and since i didnt AGAIN express my wish to close the account, they kept it open. I only found out when i recieved the notification for a monthly fee withdraw from my bank. On top of that, atlas DID NOT help with my credit score what so ever",account_closure,Credit card,General-purpose credit card or charge card,Closing your account,Can't close your account
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"In XX/XX/year>, went to use a synchrony bank card at a retailer and it was denied. I called synchrony who Ive had a long-standing relationship with And and they told me because my risk factor was too high that they chose to close all of my accounts. I have A+ credit, do not owe anything on any credit cards as I pay them off monthly and make a decent salary. I am not sure if a system generated disclosure or if a live person did, but I am a very low risk factor and this makes no sense to me whatsoever.",account_closure,Credit card,Store credit card,Closing your account,Company closed your account
""" On XX/XX/year>, Synchrony Bank closed three of my accounts ( XXXX, XXXX, and CareCredit ). The reason provided was 'activity indicative of high risk of failure to pay. ' I dispute this characterization as inaccurate. I have recently paid off the balances on both the XXXX and XXXX accounts in full. My CareCredit account has a balance of {$5000.00}, which I have been managing. Closing these accounts despite my payment history is a snapshot that does not reflect my actual financial behavior and negatively impacts my credit profile. ''",account_closure,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account
"I received a bill from Hawaiian Airlines World Elite Mastercard statement in my name in XXXX ( bill period from XX/XX/XXXX - XX/XX/XXXX ) ; in the amount of {$3100.00}, fees charge {$39.00}, interest charged {$70.00}. Statement balance as of XX/XX/XXXX was {$3200.00} ; past due amount {$860.00}. I called the company to report a fraud transaction and identity theft. It was not me whom owned the credit card and owed money. Someone stole my identity to open a credit card and the credit card was sent to a address different address other than my address. ( the stolen person address was : XXXX XXXX XXXX XXXX XXXX XXXX ; and another stolen person address : XXXX XXXX XXXX XXXX XXXX XXXX ) .I told them my correct address ; after that they sent the unpaid bill to my updated address. I told them that it was not me whom owe the money and requested them to remove it out of my name. I didn't know what was going on, after I dispute with Hawaiian company and gave them my address ; I received a unpaid bill from XXXX XXXX XXXX in the balance of {$3200.00} with my correct address. The account number on the paper was XXXX ; seller : Barclays Bank Delaware ; Merchant : Hawaiian Airlines, Original creditor : Barclays Bank Delaware ; original account number : XXXX, creditor : XXXX XXXX XXXX. I called the number XXXX on the paper and requested them to remove it out of my name. I told them it was not me whom owe the money. Someone had stolen my identity and created a credit card. they told me that I don't need to pay. I thought the problem had resolved. I received a letter from XXXX stating that this collection was deleted from my account. After this, I don't receive any more notice. I ran my credit today for personal reason ; and I realized that there was a collection from XXXX XXXX XXXX, phone XXXX, in the amount of {$3200.00} ( XXXX ). Barclays Bank Delaware XX/XX/XXXX, XX/XX/XXXX in the amount {$3200.00} ( original XX/XX/XXXX, {$2500.00} ), purchased by another lender. I called XXXX XXXX XXXX today XX/XX/XXXX to file an dispute and explained the previous disputing with them. I requested them to remove the collection out of my credit history. I need this collection to be removed from my credit report as soon as possible for personal reason. Please help me to contact XXXX XXXX XXXX for this identity theft which i have called and reported them many years ago. However, they did not do anything about it. Please contact me through my email address ; and I will provide addition information as needed.",account_closure,Debt collection,Credit card debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"Bank of America has frozen {$50000.00} in my personal account due to a fraud suspension. I am a XXXX business owner and XXXX citizen currently in XXXX. Despite multiple calls to the XXXX XXXX department, agents and supervisors claim they are "" blocked '' by a system screen and refuse to offer any remote verification. 

I have offered to verify my identity via my Passport, XXXX, and a XXXX in XXXX XXXX, but the bank has rejected all remote options, demanding a physical branch visit. This is an impossible and unreasonable barrier for an international client. 

Urgency : I am the Managing Member of a registered LLC ( XXXX XXXX XXXX XXXX  ) and have a separate business account with Bank of America. I have a real estate purchase closing in a few days. This freeze is preventing me from transferring funds to the Title Company, putting my earnest money deposit and the entire transaction at risk of default.",account_closure,Checking or savings account,Checking account,Closing an account,Can't close your account
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to XXXX XXXX XXXX ( b ) and XXXX XXXX XXXX, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"I am dealing i with self financial, I have paid the balance of my credit off and am wanting to recieve my deposit back which is the amount on the card {$3000.00} and I have tried to reach out several times via email and phone call to a number that doesnt work. I also have a credit builder account with them and the XXXX i had set up is still coming out of my bank account as of yesterday the latest payment. I need help with reaching someone so i can close the credit card and receive my monies back.",account_closure,Credit card,General-purpose credit card or charge card,Closing your account,Can't close your account
"I am filing a complaint regarding significant delays and mismanagement of my VA home loan appraisal process, which has caused financial harm and prevented closing. 

My closing was originally scheduled for XX/XX/year>, after going under contract on XX/XX/year>. The appraisal was ordered on XX/XX/year>, and the appraiser inspected the property on XX/XX/year>. 

Despite having nearly four weeks before closing, the appraisal was not completed in a timely manner. On XX/XX/year>, the lender spoke with the appraiser and provided guidance, which was not followed. As the closing date approached, the lender did not take effective action to resolve the delays or escalate the issue. 

On XX/XX/year> ( the scheduled closing date ), I was informed that the appraiser was still having issues properly classifying the property. At that point, the lender had not resolved the issue and had allowed the appraisal process to fall behind schedule without enforcing deadlines or pursuing reassignment. 

On XX/XX/year>, a VA ticket was submitted regarding the appraisal. On XX/XX/year>, I provided additional information to assist with property classification, and the lender indicated they could proceed. However, no meaningful progress occurred. 

On XX/XX/year>, I was informed that the VA had contacted the appraiser and gave a 24-hour deadline to respond. Despite this, the appraiser remained unresponsive, and the lender continued to wait rather than taking alternative action. 

On XX/XX/year>, I reached out again due to lack of communication. The lender confirmed they were still waiting on the appraiser. Multiple days passed without updates or resolution. 

On XX/XX/year>, the buyers agent also contacted the lender for an update as the extended purchase agreement deadline was expiring, but no timely response was provided. 

On XX/XX/year>, the appraisal report was finally deliveredover 30 days after inspectionand contained multiple issues, including errors and a valuation below the contract price. I initiated a Reconsideration of Value ( ROV ) ; however, the VA can not proceed with the ROV until the lender issues the Notice of Value ( NOV ). 

Despite being advised that the NOV would be completed within 48 hours, the lender has again returned to the same appraiser for additional clarification. As of XX/XX/year>, I have been informed that the appraiser is not responding, and the process remains stalled. 

These delays have resulted in direct financial harm. My rate lock has already required an extension, increasing my discount fee from {$220.00} to {$710.00}. The new lock expiration is XX/XX/year>, which is only a short extension period and does not reasonably allow enough time to close, especially with a holiday occurring during that timeframe. 

I requested a longer extension ( such as a standard 30-day extension ), but was informed that this was not an option. Given the ongoing delays outside of my control, I am concerned that additional extensions will be required, resulting in further increased costs. 

The lender has failed to effectively manage the appraisal process, enforce timelines, or take decisive action such as reassignment when it became clear the appraiser was not performing. 


This situation has been ongoing for over a month and continues to delay closing without resolution.",account_closure,Mortgage,VA mortgage,Closing on a mortgage,Delays with the closing process
"On XX/XX/26, I contacted Navy Federal Credit Union to find out why am I being charged a XXXX XXXX  TIP on my second mortgage. The initial female rep could not state why and stated she could try to get me out of it. She then spoke with her supervisor, transferred me to him, and he offered no assistance, just other products with the same financial bondage and slavery. This is appalling and bad business practices and should be illegal. Why does the government allow financial institutions to enslave consumers financially? Let alone XXXX XXXX.",account_closure,Mortgage,Conventional home mortgage,Closing on a mortgage,Fees or costs after closing
"On XXXX XX/XX/year> synchrony closed all my accounts stating high risk. 
My PayPal credit, care credit, XXXX  card and XXXX XXXX card were all closed. 
I have reached out to all companies. 
I owed nothing on any credit cards. 
I have XXXX credit scores with all 3 credit bureaus and have income over XXXX. 
I have had the cards for nearly XXXX  years and never had a late payment. I owed nothing nothing on any other credit cards and have no other debt. 
I am requesting a dispute of my XXXX card closure. I have had it XXXX  years and am nearly XXXX old. Reopening cards that were fraudulently closed will hurt my credit score and is wrong.",account_closure,Credit card,Store credit card,Closing your account,Company closed your account
"My name is XXXX XXXX. I dont owe any money on any credit cards whatsoever. I have an XXXX XXXX XXXX with XXXX XXXX XXXX XXXX and I follow them daily and all of my SYNCHRONY accounts were closed and I was told it was from high risk the Care Credit account I dont think Ive ever used the Lowes XXXX I mightve used about once a year I needed a shelf and my XXXX XXXX card. I probably used once a month for gas or groceries and would turn around and pay it off probably within a week I didnt owe any money on any of my cards. I even had a XXXX XXXX account that was closed and I didnt owe anything on that card either. I was told all of these accounts were closed by SYNCHRONY on XXXX XXXX with no other explanation other than high risk which makes XXXX sense because Ive made no big purchases. I didnt owe anything on any of my cards some of them I never used some I used maybe once a year like Lowes XXXX I needed something at the hardware store and XXXX XXXX XXXX I might use once a month but again I would turn around and pay it within a probably a week I didnt I dont like interest in so I dont pay interest, but I will get my 5 % back at the pump or whatever it might be. 
I have called XXXX XXXX and I have called XXXX and I have called XXXX XXXX and talked to the SYNCHRONY department and was told to wait for a letter and that it was closed for high risk and they wont explain to me why and it makes no sense whatsoever because I Ive used my cards responsibly. I dont have any amount owed on any of my cards and I have a high credit score with all three credit bureaus and I dont even owe anything on any other credit cards so again I asked for a dispute I was sold with XXXX XXXX XXXX they would look at it and it would take 30 days, but I am reporting it now because theres something fraudulent happening against my will and I buy at age nearly XXXX have to turn around in XXXX months and try to reopen a credit card or two its gon na hurt my credit score because its gon na make it look like Im trying to open new credit cards. Its gon na hurt my credit age and then its damaging me and its not fair.",account_closure,Credit card,Store credit card,Closing your account,Company closed your account
"On XXXX XX/XX/year> CARE CREDIT synchrony closed all my accounts stating high risk. 
My PayPal credit, care credit, lowes card and Sams Club card were all closed. 
I have reached out to all companies. 
I owed nothing on any credit cards. 
I have XXXX credit scores with all 3 credit bureaus and have income over XXXX. 
I have had the cards for nearly 10 years and never had a late payment. I owed nothing nothing on any other credit cards and have no other debt. 
I am requesting a dispute of my XXXX card closure. I have had it 10 years and am nearly XXXX old. Reopening cards that were fraudulently closed will hurt my credit score and is wrong.",account_closure,Credit card,Store credit card,Closing your account,Company closed your account
"XXXX That is the previous report I did for CFPB but was not able to add additional information. 

On or around XXXX, I was first contacted by the individual involved. The interaction began through XXXX, and dating app. The individual presented themselves as potential long term partner and in business investment. 

Over time, the individual built trust with me through ongoing communication and fake love scheme. They presented themselves as credible and trustworthy, often discussing investments, financial success, or personal connection. This created a sense of legitimacy and confidence in their claims. 

On or around XXXX XXXX, I was introduced to what was presented as a legitimate investment opportunity. I was provided with apps, websites, screenshots, or instructions that appeared professional and credible. 

I was instructed to send money through bank transfer, wire, XXXX, and crypto with the understanding that these funds were being invested. I was given specific instructions and reassured that the transactions were safe and part of a legitimate process. 

Between end of XXXX and most transactions in XXXX, I sent multiple transactions totaling approximately $ XXXX. These transactions were made based entirely on the belief that I was participating in a legitimate investment opportunity. 

After the initial transactions, I was encouraged to send additional funds. The individual used tactics such as pressure, urgency, promises of returns, emotional influence to maintain my trust and encourage further payments. 

On or around end of XX/XX/year>, I began to suspect fraudulent activity when I was questioning about tax form, unable to withdraw funds, excuses, account locked. At that point, I realized I had been deceived. 
Actions Taken Immediately After I took the following actions : - Contacted my bank to report the fraud - Filed a police report - Attempted to dispute and recover funds - Filed complaints with regulatory agencies Despite providing documentation and explaining the situation, my claims have been denied and classified as a scam. However, I maintain that these transactions were made under fraudulent misrepresentation and should not be considered valid authorization. 

This timeline demonstrates that I was systematically deceived into authorizing these transactions under false pretenses. 

I have multiple denied/unapproved disputes that came back. If we could re-evaluate and appeal them again by putting it under fraud I would appreciate it.",account_closure,Checking or savings account,Checking account,Closing an account,Company closed your account
"I opened up a business bank account with Chase Bank on XXXX XXXX XXXX. There's a XXXX minimum to keep this account open so that was deposited on the date I opened the account in person. I made my first personal investment to my business with mobile check deposit XX/XX/XXXX for XXXX. I then checked my online account to see available fund to say XXXX. On XX/XX/XXXX, I made another mobile check deposit for XXXX from a client. When i viewed my online account I saw available balance XXXX but there was a lock on my account so I called Chase to ask of the problem. They explained to me that the registered agent to my business was not my personal name to sign off on the checks so i needed to call Secretary of State to have that updated. I called and had this task completed and updated with the State and gave Chase a call back in a 3 day span and they unlocked my account. I checked my online account and it said XXXX was available in my account. On XX/XX/XXXX, I came into a local chase bank to make a cash deposit and I was told my account had been closed. I had a meeting with the manager at the local chase branch were I was told, they closed my account because the all of the checks I had previously deposited into this business account were deposited when I wasn't the registered agent for the business at that time. They have now closed my account and said they issued a refund for a check on XX/XX/XXXX of all of my funds to be delivered to my office address in XXXX business days. This delayed my business and also have upset my clients and I. I waited 15 days for the check to come to my office address, nothing from chase came. I went back to the local branch on XX/XX/XXXX, to let them know i have not received a check for my funds. They proceeded to tell me they have not issued a check because they are could not verify an updated phone number of the business that wrote me the XXXX check that was originally deposited in my account. They told have my client who wrote me the check to call the secretary of State to have them update her business phone number so they can send out the refunded check for my funds. At this point I haven't been able to access my funds since XX/XX/year>. I am highly disappointed, my business is not running smoothly, and I am late on bills and client obligations. Highly inconvienced. I proceeded to have my clients to call Secretary of state to have this updated. They told us they do not keep phone numbers on file so they must have this mistaken. At this point, it seem as Chase is doing Fraudulant activity with my funds. My client does not have the funds in her account and neither do I have my funds or her check that she wrote me. I asked them to write me a check for the funds that they are not waiting to verify, they told me since the account is close they have to write a check for the full amount only. This is unacceptable and is very damaging to my business.",account_closure,Checking or savings account,Checking account,Closing an account,Funds not received from closed account
"I am disputing a XXXX late payment reported by American Express for XX/XX/year>. Prior to any delinquency, I proactively contacted American Express and formally requested enrollment in a payment plan or hardship program for my Platinum card. American Express incorrectly closed the account and reported a XXXX delinquency. This sequence of events constitutes both procedural unfairness and an inaccurate adverse reporting. 

Under American Express 's own customer agreements and applicable federal guidelines, creditors are encouraged to work with consumers experiencing financial hardship. American Express 's refusal to engage with my payment plan request while simultaneously reporting a delinquency and closing the account is harmful and potentially actionable. 

Legal Basis for Dispute FCRA 1681s-2 ( b ) : American Express , as a furnisher, must report accurate information. A delinquency resulting from the denial of a requested payment plan especially where the consumer proactively sought resolution warrants correction.

FCRA 1681i : I have the right to dispute this information and request a reinvestigation.

ECOA ( 15 U.S.C. 1691 ) : Creditors may not engage in practices that are unfair or deceptive with respect to credit extensions and account management. 
CFPB Supervisory Guidance : The CFPB has emphasized that creditors should offer loss-mitigation options and payment plans before resorting to adverse actions, particularly for consumers who proactively reach out.",account_closure,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account
"I am disputing a XXXX late payment reported by American Express for XX/XX/year>. Prior to any delinquency, I proactively contacted American Express and formally requested enrollment in a payment plan or hardship program. American Express incorrectly closed the account and reported a XXXX delinquency. This sequence of events constitutes both procedural unfairness and an inaccurate adverse reporting. 

Under American Express 's own customer agreements and applicable federal guidelines, creditors are encouraged to work with consumers experiencing financial hardship. American Express 's refusal to engage with my payment plan request while simultaneously reporting a delinquency and closing the account is harmful and potentially actionable. 

Legal Basis for Dispute : FCRA 1681s-2 ( b ) : American Express , as a furnisher, must report accurate information. A delinquency resulting from the denial of a requested payment plan especially where the consumer proactively sought resolution warrants correction. 
FCRA 1681i : I have the right to dispute this information and request a reinvestigation. 
ECOA ( 15 U.S.C. 1691 ) : Creditors may not engage in practices that are unfair or deceptive with respect to credit extensions and account management. 
CFPB Supervisory Guidance : The CFPB has emphasized that creditors should offer loss-mitigation options and payment plans before resorting to adverse actions, particularly for consumers who proactively reach out.",account_closure,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account
"EXECUTIVE SUMMARY : TOTAL DESTRUCTION OF ENTERPRISE VALUE Truist Bank has engaged in the illegal conversion of {$68000.00} and the total destruction of Apex Commerces business operations. On XX/XX/year>, Truist summarily terminated a vetted, two-year relationship just XXXX days after a bank representative officially validated the accounts "" Great Customer '' status and "" XXXX Years of Loyalty '' ( validated XX/XX/year> ). 

I. CIVIL CONVERSION & LIQUIDITY STRANGULATION Truist is withholding {$68000.00} in operating capital without legal cause. This intentional withholding has halted all business functions, causing immediate and compounding financial ruin. 

XXXX. GROSS NEGLIGENCE & SABOTAGE OF SCALING Truist issued a "" fraud '' flag without reviewing the governing XXXX Performance Agreement ( Exhibit C ). This occurred at the precise moment of execution for a XXXX Tier XXXX credit expansion strategy ( XXXX, XXXX, XXXX, XXXX, XXXX ) designed to unlock $ XXXX in corporate leverage. By falsely branding the business "" Non-Bankable, '' Truist has permanently derailed this trajectory and killed the enterprises future. 

XXXX. AIDING & ABETTING FIRST-PARTY BANK FRAUD The bank was provided proof ( Exhibit D ) that the reporter ( XXXX XXXX XXXX XXXX acting in bad faith. Despite the reporter rejecting a 100 % professional refund in writing and admitting she was within the guarantee period, Truist prioritized her fraudulent claim over a loyal, two-year customer. Truists failure to file a Suspicious Activity Report ( SAR ) against this perpetrator while penalizing the victim constitutes a gross failure of federal mandate. 

IV. PERMANENT DEFAMATION & BLACKLISTING By terminating the account under a "" Fraud '' pretext, Truist has effectively blacklisted the CEO from the domestic banking system, making it impossible to pivot or relaunch.",account_closure,Checking or savings account,Checking account,Closing an account,Company closed your account
"Formal Complaint : Identity Theft & Regulation E Violation 1. The Incident : I am a victim of identity theft involving unauthorized online transfers from my Huntington account. This was reported to the XXXX XXXX XXXX Police, and a finalized report was issued : Case # XXXX, approved by XXXX XXXX XXXX on XX/XX/year>. 
2. Bank Admission of Fraud : The bank has already partially acknowledged the fraud by reversing several transactions, which moved my balance from {$19.00} to {$100.00}. However, they are still withholding the remaining stolen funds ( approximately {$1400.00} ). 
XXXX. Legal Violations ( Regulation E ) : Under 12 CFR 1005.11, Huntington is required to provide provisional credit or provide me with the specific evidence ( IP logs and device identifiers ) used to deny the remainder of my claim. They have done neither, which is a direct violation of federal law.

4. XXXX & Accessibility Issues : I am a XXXX XXXX XXXX veteran with XXXX  XXXX and XXXX XXXX issues. The bank insisted on an in-person branch visit to collect my undisputed {$100.00}, refusing my request for a reasonable accommodation ( mailing a check ). This requirement creates a discriminatory barrier to accessing my own funds.

5. Financial Hardship : I am currently pursuing a Bachelors in Accounting at XXXX XXXX XXXX XXXX. This withholding is causing extreme financial distress and interfering with my VA-approved educational path. 
Desired Resolution : Full reversal and credit of the remaining {$1400.00} in fraudulent charges.

Immediate release of all funds via a mailed cashier 's check to avoid further physical strain on my health. 
Provision of all technical logs used in the bank 's investigation.",account_closure,Checking or savings account,Checking account,Closing an account,Company closed your account
